sub-SH258_ses-1_task-rest1_bold.json is missing for sub-SH258, ses-1

sub-SH258_ses-1_task-rest1_bold.nii.gz is missing for sub-SH258, ses-1

sub-SH258_ses-1_task-rest1_run-02_bold.json is an unrecognized file in sub-SH258, ses-1

sub-SH258_ses-1_task-rest1_run-01_bold.nii.gz is an unrecognized file in sub-SH258, ses-1

sub-SH258_ses-1_task-rest1_run-02_bold.nii.gz is an unrecognized file in sub-SH258, ses-1

sub-SH258_ses-1_task-rest1_run-01_bold.json is an unrecognized file in sub-SH258, ses-1

sub-SH234_ses-1_task-rest1_bold.json is missing for sub-SH234, ses-1

sub-SH234_ses-1_task-rest1_bold.nii.gz is missing for sub-SH234, ses-1

sub-SH234_ses-1_task-rest1_run-01_bold.json is an unrecognized file in sub-SH234, ses-1

sub-SH234_ses-1_task-rest1_run-01_bold.nii.gz is an unrecognized file in sub-SH234, ses-1

sub-SH234_ses-1_task-rest1_run-02_bold.nii.gz is an unrecognized file in sub-SH234, ses-1

sub-SH234_ses-1_task-rest1_run-02_bold.json is an unrecognized file in sub-SH234, ses-1

